<Ewe/V>	I/mA	Ns	time/s	
1.4726372E+000	5.1335602E+002	0	08/31/2025 15:58:10.4850
1.4726766E+000	5.1284650E+002	0	08/31/2025 15:58:10.5850
1.4727108E+000	5.1946991E+002	0	08/31/2025 15:58:10.6850
1.4727374E+000	5.1080859E+002	0	08/31/2025 15:58:10.7850
1.4727776E+000	5.2201733E+002	0	08/31/2025 15:58:10.8850
1.4728171E+000	5.1539404E+002	0	08/31/2025 15:58:10.9850
1.4728649E+000	5.1896039E+002	0	08/31/2025 15:58:11.0850
1.4729069E+000	5.1743195E+002	0	08/31/2025 15:58:11.1850
1.4729314E+000	5.1997943E+002	0	08/31/2025 15:58:11.2850
1.4729667E+000	5.1641296E+002	0	08/31/2025 15:58:11.3850
1.4729854E+000	5.1794147E+002	0	08/31/2025 15:58:11.4850
1.4727947E+000	5.1845093E+002	0	08/31/2025 15:58:11.5850
1.4727556E+000	5.1284650E+002	0	08/31/2025 15:58:11.6850
1.4727472E+000	5.1845093E+002	0	08/31/2025 15:58:11.7850
1.4727467E+000	5.1182755E+002	0	08/31/2025 15:58:11.8850
1.4727496E+000	5.1997943E+002	0	08/31/2025 15:58:11.9850
1.4727520E+000	5.1539404E+002	0	08/31/2025 15:58:12.0850
1.4727643E+000	5.1794147E+002	0	08/31/2025 15:58:12.1850
1.4727780E+000	5.2150787E+002	0	08/31/2025 15:58:12.2850
1.4727921E+000	5.1641296E+002	0	08/31/2025 15:58:12.3850
1.4728093E+000	5.1997943E+002	0	08/31/2025 15:58:12.4850
1.4728253E+000	5.1997943E+002	0	08/31/2025 15:58:12.5850
1.4728390E+000	5.1335602E+002	0	08/31/2025 15:58:12.6850
1.4728757E+000	5.2558374E+002	0	08/31/2025 15:58:12.7850
1.4728976E+000	5.1335602E+002	0	08/31/2025 15:58:12.8850
1.4729235E+000	5.1641296E+002	0	08/31/2025 15:58:12.9850
1.4729452E+000	5.0978955E+002	0	08/31/2025 15:58:13.0850
1.4729719E+000	5.0928009E+002	0	08/31/2025 15:58:13.1850
1.4729984E+000	5.1488452E+002	0	08/31/2025 15:58:13.2850
1.4730157E+000	5.1896039E+002	0	08/31/2025 15:58:13.3850
1.4730451E+000	5.1437500E+002	0	08/31/2025 15:58:13.4850
1.4730768E+000	5.2303632E+002	0	08/31/2025 15:58:13.5850
1.4730933E+000	5.2048889E+002	0	08/31/2025 15:58:13.6850
1.4731169E+000	5.0928009E+002	0	08/31/2025 15:58:13.7850
1.4731396E+000	5.2252686E+002	0	08/31/2025 15:58:13.8850
1.4731590E+000	5.1386554E+002	0	08/31/2025 15:58:13.9850
1.4731969E+000	5.1590344E+002	0	08/31/2025 15:58:14.0850
1.4732144E+000	5.1590344E+002	0	08/31/2025 15:58:14.1850
1.4732463E+000	5.1896039E+002	0	08/31/2025 15:58:14.2850
1.4732727E+000	5.1896039E+002	0	08/31/2025 15:58:14.3850
1.4732937E+000	5.1488452E+002	0	08/31/2025 15:58:14.4850
1.4733250E+000	5.0928009E+002	0	08/31/2025 15:58:14.5850
1.4733531E+000	5.1794147E+002	0	08/31/2025 15:58:14.6850
1.4733700E+000	5.1845093E+002	0	08/31/2025 15:58:14.7850
1.4733818E+000	5.1946991E+002	0	08/31/2025 15:58:14.8850
1.4734039E+000	5.1488452E+002	0	08/31/2025 15:58:14.9850
1.4734303E+000	5.1233710E+002	0	08/31/2025 15:58:15.0850
1.4734541E+000	5.1233710E+002	0	08/31/2025 15:58:15.1850
1.4734775E+000	5.1743195E+002	0	08/31/2025 15:58:15.2850
1.4735074E+000	5.1131805E+002	0	08/31/2025 15:58:15.3850
1.4735203E+000	5.1896039E+002	0	08/31/2025 15:58:15.4850
1.4735472E+000	5.1997943E+002	0	08/31/2025 15:58:15.5850
1.4735733E+000	5.1386554E+002	0	08/31/2025 15:58:15.6850
1.4736061E+000	5.1692249E+002	0	08/31/2025 15:58:15.7850
1.4736189E+000	5.2252686E+002	0	08/31/2025 15:58:15.8850
1.4736536E+000	5.1896039E+002	0	08/31/2025 15:58:15.9850
1.4736762E+000	5.1080859E+002	0	08/31/2025 15:58:16.0850
1.4736975E+000	5.2456482E+002	0	08/31/2025 15:58:16.1850
1.4737169E+000	5.1590344E+002	0	08/31/2025 15:58:16.2850
1.4737469E+000	5.1284650E+002	0	08/31/2025 15:58:16.3850
1.4737637E+000	5.2303632E+002	0	08/31/2025 15:58:16.4850
1.4737972E+000	5.1845093E+002	0	08/31/2025 15:58:16.5850
1.4738170E+000	5.1233710E+002	0	08/31/2025 15:58:16.6850
1.4738426E+000	5.1386554E+002	0	08/31/2025 15:58:16.7850
1.4738625E+000	5.0775165E+002	0	08/31/2025 15:58:16.8850
1.4738711E+000	5.1386554E+002	0	08/31/2025 15:58:16.9850
1.4739087E+000	5.1539404E+002	0	08/31/2025 15:58:17.0850
1.4739257E+000	5.1794147E+002	0	08/31/2025 15:58:17.1850
1.4739498E+000	5.1131805E+002	0	08/31/2025 15:58:17.2850
1.4739701E+000	5.1946991E+002	0	08/31/2025 15:58:17.3850
1.4740013E+000	5.1794147E+002	0	08/31/2025 15:58:17.4850
1.4740206E+000	5.1131805E+002	0	08/31/2025 15:58:17.5850
1.4740421E+000	5.1692249E+002	0	08/31/2025 15:58:17.6850
1.4740624E+000	5.1641296E+002	0	08/31/2025 15:58:17.7850
1.4740850E+000	5.1997943E+002	0	08/31/2025 15:58:17.8850
1.4741095E+000	5.1080859E+002	0	08/31/2025 15:58:17.9850
1.4741254E+000	5.1335602E+002	0	08/31/2025 15:58:18.0850
1.4741360E+000	5.1590344E+002	0	08/31/2025 15:58:18.1850
