<Ewe/V>	I/mA	Ns	time/s	
1.4125458E+000	3.5227623E+001	6	08/31/2025 13:47:49.1404
1.4125539E+000	3.5259449E+001	6	08/31/2025 13:47:49.2404
1.4125569E+000	3.5132156E+001	6	08/31/2025 13:47:49.3404
1.4125676E+000	3.5189438E+001	6	08/31/2025 13:47:49.4404
1.4125723E+000	3.5138519E+001	6	08/31/2025 13:47:49.5404
1.4125733E+000	3.5183071E+001	6	08/31/2025 13:47:49.6404
1.4125896E+000	3.5278545E+001	6	08/31/2025 13:47:49.7404
1.4125904E+000	3.5138519E+001	6	08/31/2025 13:47:49.8404
1.4125992E+000	3.5170341E+001	6	08/31/2025 13:47:49.9404
1.4126042E+000	3.5259449E+001	6	08/31/2025 13:47:50.0404
1.4126104E+000	3.5221260E+001	6	08/31/2025 13:47:50.1404
1.4126209E+000	3.5195805E+001	6	08/31/2025 13:47:50.2404
1.4126260E+000	3.5202168E+001	6	08/31/2025 13:47:50.3404
1.4126281E+000	3.5138519E+001	6	08/31/2025 13:47:50.4404
1.4126287E+000	3.5246719E+001	6	08/31/2025 13:47:50.5404
1.4125552E+000	3.5125790E+001	6	08/31/2025 13:47:50.6404
1.4125628E+000	3.5138519E+001	6	08/31/2025 13:47:50.7404
1.4125698E+000	3.5176708E+001	6	08/31/2025 13:47:50.8404
1.4125738E+000	3.5163975E+001	6	08/31/2025 13:47:50.9404
1.4125834E+000	3.5195805E+001	6	08/31/2025 13:47:51.0404
1.4125893E+000	3.5170341E+001	6	08/31/2025 13:47:51.1404
1.4125946E+000	3.5157612E+001	6	08/31/2025 13:47:51.2404
1.4126002E+000	3.5208534E+001	6	08/31/2025 13:47:51.3404
1.4126072E+000	3.5246719E+001	6	08/31/2025 13:47:51.4404
1.4126183E+000	3.5163975E+001	6	08/31/2025 13:47:51.5404
1.4126213E+000	3.5183071E+001	6	08/31/2025 13:47:51.6404
1.4125800E+000	3.5170341E+001	6	08/31/2025 13:47:51.7404
1.4125673E+000	3.5170341E+001	6	08/31/2025 13:47:51.8404
1.4125762E+000	3.5246719E+001	6	08/31/2025 13:47:51.9404
1.4125170E+000	3.5214893E+001	6	08/31/2025 13:47:52.0404
1.4125202E+000	3.5163975E+001	6	08/31/2025 13:47:52.1404
1.4125251E+000	3.5176708E+001	6	08/31/2025 13:47:52.2404
1.4125292E+000	3.5113060E+001	6	08/31/2025 13:47:52.3404
1.4125342E+000	3.5195805E+001	6	08/31/2025 13:47:52.4404
1.4125466E+000	3.5157612E+001	6	08/31/2025 13:47:52.5404
1.4125489E+000	3.5208534E+001	6	08/31/2025 13:47:52.6404
1.4125538E+000	3.5138519E+001	6	08/31/2025 13:47:52.7404
1.4125650E+000	3.5138519E+001	6	08/31/2025 13:47:52.8404
1.4125679E+000	3.5138519E+001	6	08/31/2025 13:47:52.9404
1.4125774E+000	3.5195805E+001	6	08/31/2025 13:47:53.0404
1.4125837E+000	3.5208534E+001	6	08/31/2025 13:47:53.1404
1.4125937E+000	3.5087601E+001	6	08/31/2025 13:47:53.2404
1.4125962E+000	3.5189438E+001	6	08/31/2025 13:47:53.3404
1.4125742E+000	3.5253086E+001	6	08/31/2025 13:47:53.4404
1.4125538E+000	3.5214893E+001	6	08/31/2025 13:47:53.5404
1.4125636E+000	3.5233990E+001	6	08/31/2025 13:47:53.6404
1.4125723E+000	3.5170341E+001	6	08/31/2025 13:47:53.7404
1.4125798E+000	3.5106693E+001	6	08/31/2025 13:47:53.8404
1.4125826E+000	3.5240353E+001	6	08/31/2025 13:47:53.9404
1.4125930E+000	3.5119427E+001	6	08/31/2025 13:47:54.0404
1.4126025E+000	3.5157612E+001	6	08/31/2025 13:47:54.1404
1.4126086E+000	3.5157612E+001	6	08/31/2025 13:47:54.2404
1.4126122E+000	3.5259449E+001	6	08/31/2025 13:47:54.3404
1.4125798E+000	3.5176708E+001	6	08/31/2025 13:47:54.4404
1.4125599E+000	3.5132156E+001	6	08/31/2025 13:47:54.5404
1.4125698E+000	3.5138519E+001	6	08/31/2025 13:47:54.6404
1.4125069E+000	3.5163975E+001	6	08/31/2025 13:47:54.7404
1.4125053E+000	3.5183071E+001	6	08/31/2025 13:47:54.8404
1.4125073E+000	3.5176708E+001	6	08/31/2025 13:47:54.9404
1.4125184E+000	3.5074871E+001	6	08/31/2025 13:47:55.0404
1.4125242E+000	3.5195805E+001	6	08/31/2025 13:47:55.1404
